Date,Shape of You,Despacito,Someone Just Like You,Humble,Unforgettable
20170407,13042637,6533680.0,9736931.0,8055220.0,317011.0
20170408,12815920,6660608.0,9334494.0,7280150.0,308838.0
20170409,11291392,5683746.0,8077875.0,6396104.0,756145.0
20170410,11819128,5762588.0,8678774.0,7162611.0,954504.0
20170411,11736951,5877897.0,8591469.0,7468021.0,953037.0
20170412,11716914,6041766.0,8590463.0,7495873.0,972755.0
20170413,11958775,6327822.0,8553816.0,7573209.0,1047409.0
20170414,11443718,5846681.0,8048741.0,13144962.0,1124587.0
20170415,11042206,5617332.0,7450464.0,11963789.0,1181031.0
20170416,10010095,5108739.0,6713215.0,10040949.0,1200146.0
20170417,10765545,10236693.0,7481411.0,11302669.0,1469013.0
20170418,11003682,13837155.0,7720202.0,11967713.0,1699884.0
20170419,10766018,14530591.0,7608793.0,11640174.0,1725940.0
20170420,10826572,15603034.0,7578070.0,11181908.0,1820033.0
20170421,11324112,18076042.0,7818554.0,11363409.0,1953608.0
20170422,11234996,17750769.0,7449324.0,10274500.0,1890190.0
20170423,9744436,15592441.0,6498748.0,8892731.0,1696541.0
20170424,10226555,17174198.0,7108710.0,10131992.0,1976553.0
20170425,10416529,17794232.0,7215107.0,10156513.0,2105738.0
20170426,10483469,18053510.0,7252547.0,10145977.0,2620606.0
20170427,10222461,18150660.0,7135760.0,10016786.0,2698186.0
20170428,10818508,20021846.0,7545200.0,10309105.0,3028343.0
20170429,10836688,20266973.0,7228232.0,9535829.0,3191729.0
20170430,9754326,18406851.0,6545783.0,8415625.0,2971223.0
20170501,9593805,18367645.0,6596730.0,8737383.0,3253665.0
20170502,9706051,18955297.0,6846097.0,9192670.0,3619296.0
20170503,9888519,19322294.0,6931541.0,9233418.0,3759408.0
20170504,9934971,19505497.0,6935114.0,9207136.0,3855119.0
20170505,10520138,21169157.0,7238272.0,9526065.0,4112038.0
20170506,10555302,21096685.0,6959582.0,8935434.0,4025107.0
20170507,9168672,17895091.0,6075220.0,7805942.0,3598374.0
20170508,9483810,19068836.0,6592512.0,8576556.0,4168044.0
20170509,9701644,19772336.0,6686915.0,8830985.0,4408268.0
20170510,9675779,19848833.0,6653322.0,8746830.0,4488334.0
20170511,9560953,20017122.0,6658910.0,8689326.0,4339295.0
20170512,10105739,21542862.0,7013481.0,9077519.0,4523770.0
20170513,10077677,21606277.0,6678893.0,8683478.0,4308062.0
20170514,8671832,18556585.0,5758414.0,7511379.0,3845575.0
20170515,9081859,19750988.0,6283248.0,8281634.0,4441224.0
20170516,9374428,20324830.0,6344965.0,8538806.0,4709739.0
20170517,9287237,20380605.0,6017925.0,8454767.0,4795563.0
20170518,9162677,20967686.0,5836777.0,8431003.0,5096004.0
20170519,9687373,22169945.0,6103377.0,8762806.0,5292576.0
20170520,9587491,22271168.0,5882114.0,8239957.0,5032800.0
20170521,8099936,19291804.0,5144732.0,7214077.0,4512437.0
20170522,8306796,19990671.0,5526221.0,7757136.0,4997624.0
20170523,8482709,20206249.0,5583887.0,7963927.0,5109260.0
20170524,8689525,21098792.0,5753065.0,8060525.0,5310612.0
20170525,8745570,21620119.0,5779886.0,8039395.0,5385823.0
20170526,9285005,23218183.0,6101814.0,8318984.0,5579455.0
20170527,8968725,22744894.0,5699766.0,7708217.0,5189684.0
20170528,7797390,19682193.0,5021231.0,6799333.0,4722146.0
20170529,7968074,19119391.0,5251779.0,6956411.0,4963030.0
20170601,8270321,20697677.0,5495998.0,7364896.0,5738504.0
20170603,8383160,21339194.0,5264998.0,7138376.0,5700860.0
20170604,7292429,18317216.0,4665442.0,6308290.0,5056728.0
20170605,7564274,18579274.0,5213153.0,6612172.0,5536914.0
20170606,7733799,18831975.0,5317735.0,6844215.0,5794155.0
20170607,7991347,19089132.0,5401157.0,6972281.0,6040520.0
20170608,8038934,19146578.0,5359403.0,6893265.0,6103138.0
20170609,8347951,20414015.0,5555463.0,7130699.0,6435133.0
20170610,8294822,20814279.0,5298619.0,6876924.0,6317618.0
20170611,7209910,18061777.0,4655866.0,6170861.0,5633437.0
20170612,7471696,18016294.0,4983829.0,6516012.0,6132437.0
20170613,7649602,18247619.0,5096237.0,6618499.0,6296232.0
20170614,7791397,18796844.0,5230213.0,6699187.0,6529679.0
20170615,7788117,18859909.0,5240236.0,6658054.0,6539428.0
20170616,8108408,19658830.0,5431826.0,6783439.0,6671912.0
20170617,8124731,20358876.0,5254454.0,6512488.0,6661705.0
20170618,7062291,17669708.0,4607159.0,5697471.0,5919580.0
20170619,7222278,17678927.0,4899566.0,6109417.0,6479657.0
20170620,7322216,18072968.0,4945979.0,6226739.0,6650204.0
20170621,7320808,18266517.0,4991918.0,6114166.0,6649982.0
20170622,7414811,18516324.0,5028154.0,5836170.0,6676589.0
20170623,7790331,19704628.0,5221599.0,5787698.0,6760113.0
20170624,7435279,19027255.0,4808014.0,5356980.0,6406220.0
20170625,6464995,16317670.0,4245668.0,4784760.0,5672986.0
20170626,6899036,16833985.0,4719520.0,5159169.0,6457472.0
20170627,6956048,16828321.0,4756455.0,5233342.0,6561576.0
20170628,6948876,16755069.0,4733774.0,5219358.0,6600259.0
20170629,6979147,16738208.0,4737784.0,5264616.0,6668812.0
20170630,7418266,18016506.0,5002806.0,5414745.0,6964822.0
20170701,7286405,18100043.0,4774843.0,5089295.0,6686994.0
20170702,6291781,15459004.0,4141816.0,4470802.0,5843136.0
20170703,6658379,15717350.0,4513399.0,4725057.0,6316964.0
20170704,6945239,16216181.0,4842624.0,4695211.0,6438641.0
20170705,6889862,16234560.0,4787127.0,4665841.0,6618288.0
20170706,6864039,16341451.0,4714461.0,4733036.0,6734873.0
20170707,7165776,17408778.0,4938822.0,4890511.0,6971756.0
20170708,7083965,17434310.0,4676309.0,4604028.0,6775806.0
20170709,6192566,15209922.0,4113499.0,4138663.0,6030924.0
20170710,6545599,15436463.0,4457975.0,4396545.0,6502623.0
20170711,6591634,15492198.0,4481153.0,4435075.0,6655153.0
20170712,6604220,15471584.0,4527169.0,4393344.0,6735165.0
20170713,6670011,15702710.0,4555915.0,4417653.0,6889203.0
20170714,6873986,16471127.0,4727981.0,4588352.0,7428439.0
20170715,6675732,16549098.0,4480897.0,4426203.0,7286421.0
20170716,5780812,14158281.0,3878012.0,3949880.0,6540054.0
20170717,6270412,14458210.0,4215697.0,4218110.0,7202114.0
20170718,6332080,14445760.0,4235126.0,4252510.0,7442837.0
20170719,6321482,14533247.0,4198519.0,4216456.0,7383549.0
20170720,6345232,14574866.0,4196855.0,4221129.0,7317581.0
20170721,6584434,15290172.0,4324180.0,4340508.0,7483165.0
20170722,6419125,15081889.0,4128746.0,4087726.0,7272876.0
20170723,5593737,12900257.0,3592715.0,3673824.0,6372850.0
20170724,5971241,12947182.0,3898377.0,3920478.0,6976951.0
20170725,6084365,13083960.0,3966279.0,4057663.0,7142650.0
20170726,6036253,12992407.0,3942363.0,4044913.0,7193455.0
20170727,6136793,13000596.0,4011774.0,4071007.0,7238086.0
20170728,6392647,13759811.0,4177788.0,4204291.0,7430381.0
20170729,6219539,13667396.0,3980576.0,4049163.0,7177577.0
20170730,5438809,11842229.0,3485531.0,3603193.0,6310817.0
20170731,5807756,11996903.0,3831588.0,3832712.0,6861903.0
20170801,5837671,12037931.0,3873641.0,3910393.0,6980911.0
20170802,5816421,11974849.0,3835236.0,3893299.0,7002895.0
20170803,5813934,11925165.0,3809888.0,3903153.0,7056852.0
20170804,6007623,12565919.0,3952948.0,4034865.0,7272132.0
20170805,5853156,12595568.0,3762743.0,3845196.0,7013793.0
20170806,5161329,10971045.0,3303766.0,3429417.0,6148053.0
20170807,5463623,11038928.0,3601600.0,3620249.0,6558849.0
20170808,5503197,11026134.0,3617536.0,3737388.0,6646539.0
20170809,5577100,11072469.0,3679142.0,3810186.0,6775658.0
20170810,5609356,11077073.0,3704051.0,3861148.0,6834501.0
20170811,5821842,11682964.0,3826441.0,3952534.0,7010525.0
20170812,5690637,11541402.0,3608592.0,3756727.0,6727197.0
20170813,5048734,10162818.0,3227925.0,3386920.0,6007073.0
20170814,5356407,10227207.0,3458670.0,3596980.0,6522976.0
20170815,5324014,10117908.0,3441392.0,3626772.0,6599419.0
20170816,5340468,10112353.0,3428613.0,3667274.0,6702959.0
20170817,5354799,10078390.0,3388205.0,3673307.0,6728231.0
20170818,5612592,10632098.0,3514567.0,3788165.0,6917995.0
20170819,5521995,10745228.0,3330789.0,3631568.0,6714150.0
20170820,4877951,9347543.0,2930431.0,3250541.0,5971170.0
20170821,5053891,9190645.0,3137077.0,3362878.0,6324038.0
20170822,5190960,9345758.0,3220089.0,3525272.0,6557427.0
20170823,5213331,9291811.0,3247528.0,3538478.0,6594554.0
20170824,5192733,9112136.0,3200638.0,3593733.0,6629096.0
20170825,5372132,9604864.0,3297845.0,3728981.0,6919821.0
20170826,5398407,9830691.0,3177570.0,3707354.0,6735165.0
20170827,4639412,8211357.0,2708561.0,3241394.0,5697007.0
20170828,5052322,8245177.0,2965292.0,3805542.0,6155840.0
20170829,5069208,8326055.0,3047201.0,3840230.0,6312760.0
20170830,5073099,8289340.0,3098976.0,3811893.0,6261844.0
20170831,5004209,8220587.0,3081615.0,3763414.0,6270509.0
20170901,5211297,8851183.0,3220023.0,3899350.0,6555770.0
20170902,5184822,8855437.0,3063769.0,3649317.0,6234713.0
20170903,4565886,7634595.0,2706883.0,3242651.0,5455643.0
20170904,4707435,7493172.0,2888297.0,3398290.0,5809396.0
20170905,4695639,7304888.0,2881964.0,3429361.0,5888354.0
20170906,4760158,7274460.0,2899870.0,3455123.0,5964207.0
20170907,4826109,7319295.0,2872544.0,3503719.0,5976230.0
20170908,4910246,7615512.0,2926563.0,3628067.0,6153565.0
20170909,4811154,7678972.0,2788193.0,3444938.0,5887824.0
20170910,4198795,6611073.0,2457214.0,3035355.0,5163668.0
20170911,4361981,6438665.0,2634210.0,3219538.0,5567003.0
20170912,4449059,6485427.0,2693230.0,3339749.0,5768113.0
20170913,4486914,6372277.0,2730972.0,3362267.0,5813366.0
20170914,4625412,6392424.0,2789158.0,3427588.0,5842846.0
20170915,4857453,6897461.0,2897776.0,3588348.0,6085964.0
20170916,4811542,7115121.0,2775660.0,3437075.0,5875577.0
20170917,4217726,6217801.0,2411478.0,3022022.0,5050812.0
20170918,4438039,6079504.0,2589228.0,3223558.0,5394894.0
20170919,4449027,5845989.0,2605795.0,3318253.0,5498925.0
20170920,4450117,5696752.0,2620766.0,3333215.0,5573412.0
20170921,4511416,5804669.0,2662157.0,3377269.0,5632846.0
20170922,4803446,6287200.0,2795011.0,3550018.0,5836533.0
20170923,4811273,6457167.0,2697447.0,3361464.0,5588322.0
20170924,4173114,5543199.0,2386744.0,2973071.0,4928772.0
20170925,4300493,5294767.0,2532344.0,3142953.0,5246747.0
20170926,4382561,5328387.0,2584103.0,3245227.0,5323218.0
20170927,4432205,5405673.0,2626524.0,3310160.0,5369976.0
20170928,4407021,5451463.0,2651182.0,3371796.0,5380140.0
20170929,4612169,5887270.0,2805798.0,3408516.0,5622105.0
20170930,4528232,5934154.0,2644431.0,3179287.0,5469318.0
20171001,3909551,5047240.0,2310057.0,2787820.0,4669591.0
20171002,4127122,4914458.0,2488921.0,3009934.0,5031324.0
20171003,4237114,4800023.0,2546028.0,3127029.0,5154154.0
20171004,4271413,4817960.0,2572763.0,3144219.0,5069708.0
20171005,4245407,5017664.0,2567514.0,3173822.0,4804623.0
20171006,4514154,5298530.0,2715368.0,3375834.0,5013373.0
20171007,4495360,5611556.0,2608568.0,3167155.0,4772899.0
20171008,3910406,4812894.0,2278815.0,2745954.0,4149464.0
20171009,4087219,4476628.0,2450972.0,2910896.0,4322950.0
20171010,4101578,4399014.0,2480750.0,2970858.0,4359961.0
20171011,4132781,4426403.0,2392039.0,2972495.0,4331127.0
20171012,4192091,4476909.0,2316364.0,3020360.0,4377235.0
20171013,4438626,4864863.0,2425219.0,3182271.0,4716436.0
20171014,4405296,5175338.0,2329103.0,2988696.0,4499964.0
20171015,3875526,4532672.0,2064846.0,2643346.0,3947139.0
20171016,4014222,4220968.0,2208437.0,2816293.0,4124168.0
20171017,4048071,4203320.0,2253347.0,2917406.0,4193222.0
20171018,4098205,4126287.0,2278676.0,2914412.0,4199350.0
20171019,4123090,4176623.0,2288116.0,2946116.0,4224348.0
20171020,4375158,4551204.0,2359956.0,3068961.0,4474331.0
20171021,4313880,4680268.0,2246145.0,2885641.0,4321072.0
20171022,3759421,3957884.0,1966532.0,2527603.0,3737602.0
20171023,3966631,3837990.0,2102072.0,2705348.0,3973208.0
20171024,4042766,3906281.0,2131370.0,2801453.0,4053813.0
20171025,4092810,3979854.0,2177538.0,2808765.0,4097702.0
20171026,4116823,4010417.0,2185035.0,2850254.0,4099284.0
20171027,4313006,4328256.0,2241455.0,3011551.0,4322923.0
20171028,4197548,4612204.0,2122025.0,2793502.0,4046255.0
20171029,3668538,3796560.0,1877896.0,2490961.0,3545629.0
20171030,3884031,3642564.0,2028548.0,2617807.0,3795222.0
20171031,3926951,3888958.0,2034408.0,2703940.0,3827345.0
20171101,3819439,3662143.0,1997851.0,2586475.0,3630529.0
20171102,3938190,3700892.0,2052542.0,2675831.0,3747806.0
20171103,4144346,4010977.0,2129755.0,2805267.0,3961130.0
20171104,4044433,4020957.0,2054355.0,2594979.0,3713045.0
20171105,3567680,3358109.0,1813190.0,2279612.0,3258038.0
20171106,3695556,3133130.0,1949896.0,2471080.0,3465063.0
20171107,3803589,3069122.0,2025309.0,2571403.0,3563317.0
20171108,3857766,3188437.0,2091348.0,2587832.0,3630088.0
20171109,3896043,3360350.0,2114187.0,2589968.0,3636623.0
20171110,4160512,3555034.0,2199808.0,2694944.0,3841749.0
20171111,4169862,3762636.0,2086537.0,2530450.0,3682152.0
20171112,3658492,3234510.0,1839484.0,2231423.0,3201396.0
20171113,3701108,2995731.0,1961776.0,2372934.0,3383654.0
20171114,3829468,3106599.0,2024536.0,2487216.0,3522049.0
20171115,3940055,3228922.0,2072633.0,2521797.0,3615039.0
20171116,3914455,3184255.0,2072885.0,2525020.0,3601911.0
20171117,4133833,3644654.0,2138618.0,2617439.0,3769327.0
20171118,4110628,3922003.0,2051539.0,2460020.0,3650789.0
20171119,3666668,3343278.0,1807982.0,2054707.0,3195993.0
20171120,3741930,3046317.0,1950981.0,2158850.0,3294761.0
20171121,3796844,3089118.0,1993765.0,2212817.0,3415188.0
20171122,3887983,3123134.0,2026582.0,2235130.0,3510993.0
20171123,3831227,2979721.0,1957258.0,2071230.0,3348415.0
20171124,3934731,3056587.0,1969707.0,2003743.0,3334933.0
20171125,4037535,3277689.0,1917285.0,1963710.0,3302385.0
20171126,3607335,2809414.0,1747479.0,1822490.0,2960413.0
20171127,3651453,2590998.0,1855624.0,1945191.0,3091897.0
20171128,3754323,2641420.0,1926842.0,2005434.0,3166629.0
20171129,3869611,2717354.0,1963523.0,2046201.0,3243320.0
20171130,3887032,2661182.0,1990808.0,2054789.0,3228846.0
20171201,4088078,2774406.0,1783573.0,2088544.0,3328965.0
20171202,3973771,2967287.0,1679101.0,1926955.0,3064846.0
20171203,3497682,2459963.0,1492999.0,1715923.0,2681287.0
20171204,3608439,2300997.0,1653213.0,1833301.0,2832473.0
20171205,4025974,2862451.0,2065676.0,2094680.0,2969181.0
20171206,4486684,3356051.0,2287838.0,2374910.0,3082904.0
20171207,4956182,3962757.0,2524975.0,2935759.0,3258200.0
20171208,4923111,4094943.0,2574826.0,3035211.0,3379843.0
20171209,4730381,3959109.0,2336025.0,2863104.0,3184655.0
20171210,4088841,3140477.0,2009351.0,2487852.0,2695505.0
20171211,4182447,2966875.0,2154369.0,2657255.0,2834333.0
20171212,4303919,3233276.0,2235475.0,2764066.0,2963018.0
20171213,4358667,3314040.0,2267402.0,2780471.0,2978316.0
20171214,4369297,3325530.0,2248060.0,2780681.0,2994198.0
20171215,4514100,3361095.0,2225837.0,2756924.0,3067124.0
20171216,4463192,3489922.0,2113797.0,2567140.0,2723787.0
20171217,3917389,2961518.0,1873012.0,2279766.0,2341248.0
20171218,4071886,2781199.0,2028347.0,2479225.0,2491145.0
20171219,4274011,3003114.0,2132337.0,2634297.0,2607727.0
20171220,4436628,3154413.0,2169795.0,2687930.0,2664331.0
20171221,4510806,3240941.0,2175124.0,2732839.0,2729016.0
20171222,4516401,3336412.0,1955405.0,2737098.0,2746256.0
20171223,4392917,3332468.0,1827557.0,2317933.0,2372778.0
20171224,4115734,3084918.0,1482265.0,1979313.0,1998051.0
20171225,3575347,2945233.0,1380813.0,1638493.0,1754546.0
20171226,3874765,3008858.0,1952557.0,2035487.0,2044976.0
20171227,4393658,3463788.0,2241642.0,2445535.0,2423038.0
20171228,4531610,3498889.0,2379535.0,2603003.0,2668312.0
20171229,4661519,3661065.0,2510770.0,2604563.0,2825661.0
20171230,4707603,3912257.0,2505685.0,2566709.0,2808529.0
20171231,7073032,8203454.0,3514602.0,2787752.0,3792953.0
20180101,4865387,5557165.0,2179506.0,2368321.0,2537274.0
20180102,4541816,3980200.0,2368870.0,2505241.0,2683769.0
20180103,4596993,3890385.0,2363422.0,2587620.0,2753557.0
20180104,4447076,3512667.0,2345804.0,2575748.0,2710101.0
20180105,4492978,3450315.0,2408365.0,2685857.0,2869783.0
20180106,4416476,3394284.0,2188035.0,2559044.0,2743748.0
20180107,4009104,3020789.0,1908129.0,2350985.0,2441045.0
20180108,4135505,2755266.0,2023251.0,2523265.0,2622693.0
20180109,4168506,2791601.0,2058016.0,2727678.0,2627334.0
